Generation,Population,Slow_Count,Fast_Count,Mut_Loc,Mutation,Prod_rt,Min 
59,popB,56,64,116,0.5,0.068,0.5
60,popB,55,65,30,1.0,0.067,0.5
61,popB,56,64,33,0.5,0.067,0.5
62,popA,56,64,0,0,0.080,0.5
63,popB,56,64,103,1.0,0.066,0.5
64,popA,56,64,0,0,0.081,0.5
65,popB,56,64,65,0.5,0.066,0.5
66,popB,57,63,62,0.5,0.066,0.5
67,popB,56,64,23,1.0,0.087,0.5
68,popB,56,64,73,0.5,0.087,0.5
69,popB,56,64,89,0.5,0.087,0.5
70,popB,57,63,80,0.5,0.087,0.5
71,popB,57,63,107,1.0,0.087,0.5
72,popB,57,63,78,0.5,0.087,0.5
73,popB,56,64,3,1.0,0.087,0.5
74,popB,57,63,96,0.5,0.086,0.5
75,popB,57,63,98,0.5,0.087,0.5
76,popB,57,63,67,0.5,0.087,0.5
77,popB,56,64,60,1.0,0.087,0.5
78,popB,56,64,107,1.0,0.067,0.5
79,popB,56,64,93,1.0,0.067,0.5
80,popB,56,64,42,0.5,0.067,0.5
81,popB,56,64,11,0.5,0.067,0.5
82,popB,56,64,86,0.5,0.067,0.5
83,popB,56,64,8,0.5,0.067,0.5
84,popB,57,63,6,0.5,0.067,0.5
85,popB,57,63,108,1.0,0.067,0.5
86,popB,56,64,87,1.0,0.067,0.5
87,popB,56,64,75,0.5,0.068,0.5
88,popB,55,65,29,1.0,0.090,0.5
89,popB,55,65,15,1.0,0.090,0.5
90,popB,55,65,104,0.5,0.090,0.5
91,popB,55,65,6,0.5,0.090,0.5
92,popB,55,65,57,1.0,0.090,0.5
93,popB,56,64,87,0.5,0.090,0.5
94,popB,56,64,32,0.5,0.090,0.5
95,popB,57,63,66,0.5,0.090,0.5
96,popB,58,62,9,0.5,0.089,0.5
97,popB,58,62,83,0.5,0.090,0.5
98,popB,58,62,48,1.0,0.090,0.5
99,popB,58,62,79,0.5,0.090,0.5
100,popB,59,61,25,0.5,0.107,0.5
101,popB,59,61,74,1.0,0.107,0.5
102,popB,59,61,19,0.5,0.107,0.5
103,popB,58,62,41,1.0,0.086,0.5
104,popB,58,62,35,1.0,0.069,0.5
105,popB,58,62,30,1.0,0.069,0.5
106,popB,58,62,34,1.0,0.069,0.5
107,popB,58,62,74,1.0,0.069,0.5
108,popB,58,62,89,0.5,0.069,0.5
109,popB,57,63,64,1.0,0.086,0.5
110,popB,57,63,93,1.0,0.086,0.5
111,popB,56,64,72,1.0,0.087,0.5
112,popB,57,63,63,0.5,0.075,0.5
113,popB,57,63,43,1.0,0.087,0.5
114,popB,56,64,0,1.0,0.087,0.5
115,popB,56,64,54,0.5,0.087,0.5
116,popB,57,63,3,0.5,0.087,0.5
117,popB,58,62,45,0.5,0.087,0.5
118,popB,57,63,99,1.0,0.069,0.5
119,popB,56,64,84,1.0,0.087,0.5
120,popB,57,63,106,0.5,0.087,0.5
121,popB,56,64,81,1.0,0.087,0.5
122,popB,56,64,84,1.0,0.087,0.5
123,popB,55,65,66,1.0,0.087,0.5
124,popB,56,64,7,0.5,0.087,0.5
125,popB,56,64,85,0.5,0.087,0.5
126,popB,56,64,69,1.0,0.087,0.5
127,popB,56,64,45,0.5,0.087,0.5
128,popB,56,64,93,1.0,0.087,0.5
129,popB,56,64,59,1.0,0.087,0.5
130,popB,55,65,31,1.0,0.088,0.5
131,popB,54,66,49,1.0,0.087,0.5
132,popB,54,66,73,0.5,0.088,0.5
133,popB,54,66,58,0.5,0.088,0.5
134,popB,53,67,86,1.0,0.088,0.5
135,popB,54,66,66,0.5,0.087,0.5
136,popB,54,66,67,0.5,0.087,0.5
137,popB,55,65,117,0.5,0.088,0.5
138,popB,56,64,13,0.5,0.070,0.5
139,popB,56,64,102,1.0,0.070,0.5
140,popB,57,63,56,0.5,0.069,0.5
141,popB,56,64,96,1.0,0.070,0.5
142,popB,55,65,16,1.0,0.071,0.5
143,popB,56,64,97,0.5,0.088,0.5
144,popB,57,63,49,0.5,0.064,0.5
145,popB,58,62,86,0.5,0.095,0.5
146,popB,58,62,106,0.5,0.095,0.5
147,popB,59,61,22,0.5,0.062,0.5
148,popB,60,60,57,0.5,0.086,0.5
149,popB,60,60,23,1.0,0.085,0.5
150,popB,60,60,86,0.5,0.085,0.5
151,popB,60,60,59,1.0,0.085,0.5
152,popB,60,60,41,1.0,0.085,0.5
153,popB,59,61,87,1.0,0.086,0.5
154,popB,59,61,43,1.0,0.086,0.5
155,popB,59,61,19,0.5,0.086,0.5
156,popB,60,60,10,0.5,0.086,0.5
157,popB,60,60,44,0.5,0.085,0.5
158,popB,60,60,37,1.0,0.085,0.5
159,popB,60,60,51,0.5,0.085,0.5
160,popB,59,61,7,1.0,0.086,0.5
161,popB,59,61,3,0.5,0.086,0.5
162,popB,60,60,92,0.5,0.085,0.5
163,popB,59,61,113,1.0,0.090,0.5
164,popB,59,61,76,1.0,0.090,0.5
165,popB,59,61,6,0.5,0.090,0.5
166,popB,59,61,40,1.0,0.090,0.5
167,popB,58,62,50,1.0,0.087,0.5
168,popB,58,62,55,1.0,0.087,0.5
169,popB,58,62,110,0.5,0.087,0.5
170,popB,59,61,111,0.5,0.090,0.5
171,popB,58,62,27,1.0,0.069,0.5
172,popB,57,63,116,1.0,0.071,0.5
173,popB,57,63,95,1.0,0.071,0.5
174,popB,57,63,12,1.0,0.071,0.5
175,popB,57,63,70,0.5,0.071,0.5
176,popB,56,64,17,1.0,0.072,0.5
177,popB,56,64,99,1.0,0.072,0.5
178,popB,55,65,19,1.0,0.073,0.5
179,popB,54,66,100,1.0,0.072,0.5
180,popB,53,67,117,1.0,0.090,0.5
181,popB,54,66,50,0.5,0.090,0.5
182,popB,54,66,99,1.0,0.089,0.5
183,popB,54,66,50,0.5,0.089,0.5
184,popB,54,66,68,0.5,0.089,0.5
185,popB,54,66,77,1.0,0.089,0.5
186,popB,54,66,55,1.0,0.089,0.5
187,popB,53,67,106,1.0,0.090,0.5
188,popB,53,67,116,1.0,0.090,0.5
189,popB,53,67,113,1.0,0.090,0.5
190,popB,53,67,2,0.5,0.090,0.5
191,popB,53,67,75,0.5,0.090,0.5
192,popB,54,66,23,0.5,0.090,0.5
193,popB,55,65,61,0.5,0.075,0.5
194,popB,54,66,62,1.0,0.089,0.5
195,popB,54,66,101,1.0,0.090,0.5
196,popB,54,66,2,0.5,0.090,0.5
197,popB,54,66,60,1.0,0.090,0.5
198,popB,54,66,10,0.5,0.090,0.5
199,popB,54,66,80,0.5,0.090,0.5
200,popB,53,67,4,1.0,0.090,0.5
201,popB,53,67,42,0.5,0.090,0.5
202,popB,53,67,36,1.0,0.090,0.5
203,popB,52,68,58,1.0,0.090,0.5
204,popB,53,67,21,0.5,0.084,0.5
205,popB,53,67,72,1.0,0.085,0.5
206,popB,52,68,61,1.0,0.085,0.5
207,popB,52,68,48,1.0,0.076,0.5
208,popB,52,68,22,0.5,0.076,0.5
209,popB,52,68,113,1.0,0.076,0.5
210,popB,52,68,1,1.0,0.076,0.5
211,popB,52,68,108,1.0,0.076,0.5
212,popB,51,69,86,1.0,0.070,0.5
213,popB,52,68,109,0.5,0.075,0.5
214,popB,52,68,66,0.5,0.075,0.5
215,popB,53,67,28,0.5,0.075,0.5
216,popB,52,68,118,1.0,0.075,0.5
217,popB,52,68,78,0.5,0.075,0.5
218,popB,53,67,29,0.5,0.075,0.5
219,popB,52,68,45,1.0,0.075,0.5
220,popB,51,69,32,1.0,0.088,0.5
221,popB,50,70,56,1.0,0.080,0.5
222,popB,50,70,3,0.5,0.081,0.5
223,popB,49,71,89,1.0,0.082,0.5
224,popB,49,71,83,0.5,0.082,0.5
225,popB,50,70,100,0.5,0.081,0.5
226,popB,49,71,29,1.0,0.082,0.5
227,popB,48,72,22,1.0,0.083,0.5
228,popB,48,72,68,0.5,0.071,0.5
229,popB,48,72,47,1.0,0.071,0.5
230,popB,48,72,36,1.0,0.071,0.5
231,popB,48,72,83,0.5,0.071,0.5
232,popB,49,71,72,0.5,0.070,0.5
233,popB,49,71,36,1.0,0.069,0.5
234,popB,48,72,70,1.0,0.069,0.5
235,popB,48,72,7,1.0,0.069,0.5
236,popB,48,72,1,1.0,0.069,0.5
237,popB,49,71,0,0.5,0.069,0.5
238,popB,48,72,9,1.0,0.074,0.5
239,popB,48,72,35,1.0,0.075,0.5
240,popB,49,71,96,0.5,0.096,0.5
241,popB,50,70,115,0.5,0.086,0.5
242,popB,49,71,92,1.0,0.087,0.5
243,popB,49,71,88,1.0,0.086,0.5
244,popB,50,70,69,0.5,0.101,0.5
245,popB,50,70,24,0.5,0.095,0.5
246,popB,50,70,81,1.0,0.095,0.5
247,popB,49,71,49,1.0,0.084,0.5
248,popB,50,70,119,0.5,0.087,0.5
249,popB,51,69,31,0.5,0.083,0.5
250,popB,51,69,31,0.5,0.083,0.5
251,popB,51,69,1,1.0,0.083,0.5
252,popB,52,68,55,0.5,0.096,0.5
253,popB,52,68,85,0.5,0.094,0.5
254,popB,53,67,106,0.5,0.089,0.5
255,popB,52,68,44,1.0,0.093,0.5
256,popB,53,67,90,0.5,0.097,0.5
257,popB,53,67,99,1.0,0.097,0.5
258,popB,52,68,71,1.0,0.096,0.5
259,popB,53,67,4,0.5,0.096,0.5
260,popB,53,67,93,1.0,0.096,0.5
261,popB,54,66,103,0.5,0.095,0.5
262,popB,55,65,77,0.5,0.097,0.5
263,popB,55,65,73,0.5,0.097,0.5
264,popB,55,65,25,0.5,0.097,0.5
265,popB,56,64,94,0.5,0.095,0.5
266,popB,55,65,73,1.0,0.092,0.5
267,popB,56,64,9,0.5,0.088,0.5
268,popB,57,63,36,0.5,0.108,0.5
269,popB,58,62,93,0.5,0.107,0.5
270,popB,58,62,22,1.0,0.107,0.5
271,popB,59,61,82,0.5,0.089,0.5
272,popB,58,62,67,1.0,0.089,0.5
273,popB,58,62,87,1.0,0.088,0.5
274,popB,58,62,36,0.5,0.088,0.5
275,popB,57,63,77,1.0,0.088,0.5
276,popB,57,63,26,1.0,0.089,0.5
277,popB,56,64,66,1.0,0.088,0.5
278,popB,57,63,44,0.5,0.088,0.5
279,popB,58,62,113,0.5,0.088,0.5
280,popB,58,62,65,0.5,0.088,0.5
281,popB,57,63,65,1.0,0.090,0.5
282,popB,58,62,95,0.5,0.090,0.5
283,popB,57,63,75,1.0,0.090,0.5
284,popB,58,62,66,0.5,0.089,0.5
285,popB,58,62,88,1.0,0.089,0.5
286,popB,58,62,7,1.0,0.089,0.5
287,popB,59,61,16,0.5,0.088,0.5
288,popB,58,62,69,1.0,0.088,0.5
289,popB,58,62,32,1.0,0.089,0.5
290,popB,58,62,4,0.5,0.089,0.5
291,popB,58,62,104,0.5,0.089,0.5
292,popB,57,63,38,1.0,0.069,0.5
293,popB,57,63,97,0.5,0.070,0.5
294,popB,56,64,50,1.0,0.070,0.5
295,popB,55,65,79,1.0,0.088,0.5
296,popB,55,65,29,1.0,0.087,0.5
297,popB,56,64,17,0.5,0.087,0.5
298,popB,55,65,100,1.0,0.087,0.5
299,popB,54,66,113,1.0,0.087,0.5
300,popB,54,66,77,1.0,0.087,0.5
301,popB,54,66,103,0.5,0.087,0.5
302,popB,55,65,77,0.5,0.088,0.5
303,popB,55,65,56,1.0,0.088,0.5
304,popB,54,66,110,1.0,0.071,0.5
305,popB,55,65,88,0.5,0.062,0.5
306,popB,55,65,16,0.5,0.062,0.5
307,popB,56,64,7,0.5,0.062,0.5
308,popB,56,64,37,1.0,0.062,0.5
309,popB,55,65,103,1.0,0.062,0.5
310,popB,55,65,61,1.0,0.062,0.5
311,popB,55,65,85,0.5,0.062,0.5
312,popB,55,65,29,1.0,0.062,0.5
313,popB,56,64,35,0.5,0.062,0.5
314,popB,56,64,52,1.0,0.062,0.5
315,popB,56,64,63,0.5,0.062,0.5
316,popB,56,64,21,0.5,0.062,0.5
317,popB,57,63,107,0.5,0.062,0.5
318,popB,58,62,56,0.5,0.062,0.5
319,popB,59,61,58,0.5,0.061,0.5
320,popB,59,61,18,1.0,0.061,0.5
321,popB,58,62,24,1.0,0.061,0.5
322,popB,58,62,24,1.0,0.061,0.5
323,popB,58,62,9,0.5,0.061,0.5
324,popB,59,61,14,0.5,0.085,0.5
325,popB,60,60,29,0.5,0.093,0.5
326,popB,60,60,90,0.5,0.093,0.5
327,popB,60,60,2,0.5,0.093,0.5
328,popB,60,60,42,0.5,0.093,0.5
329,popB,61,59,24,0.5,0.094,0.5
330,popB,61,59,73,1.0,0.094,0.5
331,popB,62,58,45,0.5,0.086,0.5
332,popB,62,58,83,0.5,0.086,0.5
333,popB,62,58,66,0.5,0.086,0.5
334,popB,62,58,1,1.0,0.086,0.5
335,popB,61,59,105,1.0,0.063,0.5
336,popB,60,60,17,1.0,0.094,0.5
337,popB,59,61,88,1.0,0.094,0.5
338,popB,59,61,79,1.0,0.056,0.5
339,popB,59,61,26,1.0,0.056,0.5
340,popB,59,61,31,0.5,0.056,0.5
341,popB,60,60,65,0.5,0.090,0.5
342,popB,59,61,51,1.0,0.087,0.5
343,popB,58,62,54,1.0,0.088,0.5
344,popB,59,61,81,0.5,0.090,0.5
345,popB,58,62,65,1.0,0.072,0.5
346,popB,57,63,95,1.0,0.075,0.5
347,popB,58,62,40,0.5,0.075,0.5
348,popB,58,62,84,1.0,0.075,0.5
349,popB,59,61,65,0.5,0.109,0.5
350,popB,59,61,4,0.5,0.109,0.5
351,popB,60,60,61,0.5,0.109,0.5
352,popB,59,61,90,1.0,0.109,0.5
353,popB,59,61,66,0.5,0.109,0.5
354,popB,60,60,52,0.5,0.109,0.5
355,popB,61,59,73,0.5,0.086,0.5
356,popB,60,60,9,1.0,0.086,0.5
357,popB,59,61,73,1.0,0.106,0.5
358,popB,60,60,117,0.5,0.105,0.5
359,popB,60,60,116,1.0,0.105,0.5
360,popB,60,60,69,1.0,0.105,0.5
361,popB,61,59,48,0.5,0.104,0.5
362,popB,62,58,51,0.5,0.062,0.5
363,popB,63,57,9,0.5,0.062,0.5
364,popB,63,57,111,0.5,0.062,0.5
365,popB,63,57,92,1.0,0.062,0.5
366,popB,64,56,26,0.5,0.085,0.5
367,popB,65,55,43,0.5,0.086,0.5
368,popB,66,54,91,0.5,0.085,0.5
369,popB,65,55,42,1.0,0.085,0.5
370,popB,64,56,35,1.0,0.086,0.5
371,popB,64,56,117,0.5,0.086,0.5
372,popB,65,55,88,0.5,0.086,0.5
373,popB,65,55,18,1.0,0.086,0.5
374,popB,65,55,14,0.5,0.086,0.5
375,popB,65,55,91,0.5,0.086,0.5
376,popB,64,56,24,1.0,0.086,0.5
377,popB,63,57,10,1.0,0.062,0.5
378,popB,62,58,26,1.0,0.062,0.5
379,popB,62,58,60,1.0,0.062,0.5
380,popB,63,57,18,0.5,0.062,0.5
381,popB,64,56,64,0.5,0.080,0.5
382,popB,64,56,94,0.5,0.079,0.5
383,popB,64,56,59,1.0,0.079,0.5
384,popB,64,56,32,1.0,0.079,0.5
385,popB,64,56,107,0.5,0.079,0.5
386,popB,64,56,21,0.5,0.079,0.5
387,popB,63,57,104,1.0,0.084,0.5
388,popB,62,58,43,1.0,0.085,0.5
389,popB,62,58,102,1.0,0.085,0.5
390,popB,63,57,62,0.5,0.085,0.5
391,popB,63,57,31,0.5,0.085,0.5
392,popB,64,56,112,0.5,0.085,0.5
393,popB,64,56,13,0.5,0.085,0.5
394,popB,65,55,5,0.5,0.085,0.5
395,popB,65,55,99,1.0,0.085,0.5
396,popB,66,54,116,0.5,0.084,0.5
397,popB,66,54,35,1.0,0.085,0.5
398,popB,67,53,39,0.5,0.084,0.5
399,popB,66,54,82,1.0,0.084,0.5
400,popB,66,54,104,1.0,0.084,0.5
401,popB,66,54,54,1.0,0.084,0.5
402,popB,65,55,45,1.0,0.084,0.5
403,popB,65,55,90,1.0,0.085,0.5
404,popB,66,54,46,0.5,0.084,0.5
405,popB,66,54,38,1.0,0.084,0.5
406,popB,65,55,62,1.0,0.084,0.5
407,popB,66,54,79,0.5,0.054,0.5
408,popB,66,54,114,0.5,0.054,0.5
409,popB,66,54,46,0.5,0.054,0.5
410,popB,66,54,93,0.5,0.054,0.5
411,popB,67,53,49,0.5,0.085,0.5
412,popB,67,53,96,0.5,0.085,0.5
413,popB,67,53,58,0.5,0.085,0.5
414,popB,67,53,16,0.5,0.085,0.5
415,popB,66,54,11,1.0,0.080,0.5
416,popB,66,54,93,0.5,0.080,0.5
417,popB,66,54,46,0.5,0.080,0.5
418,popB,66,54,19,1.0,0.080,0.5
419,popB,66,54,52,0.5,0.080,0.5
420,popB,67,53,38,0.5,0.079,0.5
421,popB,67,53,35,1.0,0.079,0.5
422,popB,67,53,96,0.5,0.079,0.5
423,popB,67,53,88,0.5,0.079,0.5
424,popB,66,54,115,1.0,0.080,0.5
425,popB,65,55,16,1.0,0.102,0.5
426,popB,65,55,85,0.5,0.102,0.5
427,popB,65,55,77,0.5,0.102,0.5
428,popB,66,54,15,0.5,0.103,0.5
429,popB,66,54,118,1.0,0.103,0.5
430,popB,67,53,118,0.5,0.104,0.5
431,popB,67,53,82,1.0,0.104,0.5
432,popB,67,53,98,0.5,0.104,0.5
433,popB,67,53,60,1.0,0.104,0.5
434,popB,68,52,95,0.5,0.101,0.5
435,popB,68,52,103,1.0,0.101,0.5
436,popB,69,51,102,0.5,0.101,0.5
437,popB,70,50,73,0.5,0.082,0.5
438,popB,69,51,68,1.0,0.084,0.5
439,popB,69,51,30,1.0,0.084,0.5
440,popB,70,50,75,0.5,0.083,0.5
441,popB,70,50,117,0.5,0.081,0.5
442,popB,69,51,23,1.0,0.100,0.5
443,popB,69,51,50,1.0,0.100,0.5
444,popB,70,50,16,0.5,0.085,0.5
445,popB,70,50,49,0.5,0.085,0.5
446,popB,70,50,13,0.5,0.085,0.5
447,popB,70,50,30,1.0,0.085,0.5
448,popB,71,49,71,0.5,0.100,0.5
449,popB,70,50,0,1.0,0.100,0.5
450,popB,69,51,73,1.0,0.101,0.5
451,popB,68,52,33,1.0,0.101,0.5
452,popB,67,53,2,1.0,0.102,0.5
453,popB,68,52,68,0.5,0.036,0.5
454,popB,68,52,102,0.5,0.101,0.5
455,popB,67,53,68,1.0,0.102,0.5
456,popB,67,53,86,1.0,0.102,0.5
457,popB,66,54,46,1.0,0.101,0.5
458,popB,66,54,31,0.5,0.102,0.5
459,popB,67,53,43,0.5,0.101,0.5
460,popB,68,52,104,0.5,0.084,0.5
461,popB,67,53,116,1.0,0.085,0.5
462,popB,68,52,46,0.5,0.084,0.5
463,popB,68,52,78,0.5,0.084,0.5
464,popB,68,52,84,1.0,0.084,0.5
465,popB,68,52,36,0.5,0.084,0.5
466,popB,67,53,49,1.0,0.085,0.5
467,popB,67,53,12,1.0,0.085,0.5
468,popB,66,54,46,1.0,0.085,0.5
469,popB,65,55,6,1.0,0.086,0.5
470,popB,66,54,47,0.5,0.085,0.5
471,popB,65,55,16,1.0,0.087,0.5
472,popB,65,55,15,0.5,0.087,0.5
473,popB,65,55,111,0.5,0.087,0.5
474,popB,64,56,98,1.0,0.086,0.5
475,popB,64,56,107,0.5,0.086,0.5
476,popB,64,56,38,0.5,0.086,0.5
477,popB,63,57,29,1.0,0.087,0.5
478,popB,62,58,75,1.0,0.087,0.5
479,popB,62,58,98,1.0,0.087,0.5
480,popB,61,59,58,1.0,0.088,0.5
481,popB,60,60,53,1.0,0.090,0.5
482,popB,59,61,109,1.0,0.085,0.5
483,popB,58,62,72,1.0,0.087,0.5
484,popB,58,62,95,0.5,0.087,0.5
485,popB,58,62,78,0.5,0.087,0.5
486,popB,58,62,117,0.5,0.087,0.5
487,popB,57,63,20,1.0,0.090,0.5
488,popB,57,63,2,1.0,0.089,0.5
489,popB,56,64,71,1.0,0.089,0.5
490,popB,57,63,103,0.5,0.089,0.5
491,popB,58,62,35,0.5,0.090,0.5
492,popB,59,61,17,0.5,0.090,0.5
493,popB,59,61,15,0.5,0.090,0.5
494,popB,59,61,5,0.5,0.090,0.5
495,popB,58,62,28,1.0,0.088,0.5
496,popB,59,61,49,0.5,0.089,0.5
497,popB,59,61,58,1.0,0.088,0.5
498,popB,59,61,5,0.5,0.088,0.5
499,popB,58,62,94,1.0,0.089,0.5
500,popB,58,62,106,0.5,0.090,0.5
501,popB,57,63,78,1.0,0.093,0.5
502,popB,57,63,83,0.5,0.094,0.5
503,popB,56,64,117,1.0,0.095,0.5
504,popB,57,63,84,0.5,0.094,0.5
505,popB,58,62,42,0.5,0.092,0.5
506,popB,59,61,108,0.5,0.091,0.5
507,popB,60,60,75,0.5,0.089,0.5
508,popB,60,60,73,1.0,0.089,0.5
509,popB,61,59,20,0.5,0.090,0.5
510,popB,61,59,93,0.5,0.090,0.5
511,popB,61,59,114,0.5,0.090,0.5
512,popB,61,59,24,1.0,0.090,0.5
513,popB,60,60,107,1.0,0.089,0.5
514,popB,59,61,103,1.0,0.090,0.5
515,popB,60,60,76,0.5,0.089,0.5
516,popB,59,61,66,1.0,0.090,0.5
517,popB,60,60,105,0.5,0.105,0.5
518,popB,60,60,36,0.5,0.105,0.5
519,popB,60,60,108,0.5,0.105,0.5
520,popB,60,60,46,1.0,0.105,0.5
521,popB,60,60,54,1.0,0.105,0.5
522,popB,59,61,81,1.0,0.106,0.5
523,popB,60,60,70,0.5,0.106,0.5
524,popB,60,60,18,0.5,0.105,0.5
525,popB,59,61,65,1.0,0.106,0.5
526,popB,59,61,32,1.0,0.105,0.5
527,popB,60,60,99,0.5,0.091,0.5
528,popB,59,61,70,1.0,0.091,0.5
529,popB,59,61,47,0.5,0.092,0.5
530,popB,59,61,106,0.5,0.092,0.5
531,popB,59,61,107,1.0,0.092,0.5
532,popB,59,61,16,1.0,0.092,0.5
533,popB,59,61,108,0.5,0.092,0.5
534,popB,59,61,26,1.0,0.092,0.5
535,popB,60,60,37,0.5,0.091,0.5
536,popB,60,60,5,0.5,0.091,0.5
537,popB,61,59,16,0.5,0.085,0.5
538,popB,61,59,61,0.5,0.085,0.5
539,popB,61,59,103,1.0,0.085,0.5
540,popB,61,59,28,1.0,0.085,0.5
541,popB,61,59,56,0.5,0.085,0.5
542,popB,61,59,6,1.0,0.085,0.5
543,popB,61,59,28,1.0,0.085,0.5
544,popB,60,60,21,1.0,0.087,0.5
545,popB,60,60,109,1.0,0.087,0.5
546,popB,60,60,90,1.0,0.087,0.5
547,popB,60,60,81,1.0,0.087,0.5
548,popB,60,60,49,0.5,0.087,0.5
549,popB,61,59,54,0.5,0.086,0.5
550,popB,61,59,93,0.5,0.086,0.5
551,popB,61,59,83,0.5,0.086,0.5
552,popB,61,59,100,1.0,0.086,0.5
553,popB,62,58,109,0.5,0.089,0.5
554,popB,61,59,54,1.0,0.086,0.5
555,popB,62,58,78,0.5,0.088,0.5
556,popB,62,58,29,1.0,0.088,0.5
557,popB,62,58,73,1.0,0.088,0.5
558,popB,62,58,105,0.5,0.088,0.5
559,popB,62,58,21,1.0,0.088,0.5
560,popB,63,57,27,0.5,0.084,0.5
561,popB,62,58,25,1.0,0.088,0.5
562,popB,62,58,68,1.0,0.088,0.5
563,popB,63,57,34,0.5,0.084,0.5
564,popB,62,58,37,1.0,0.102,0.5
565,popB,62,58,2,1.0,0.102,0.5
566,popB,61,59,104,1.0,0.103,0.5
567,popB,61,59,104,1.0,0.103,0.5
568,popB,61,59,77,0.5,0.103,0.5
569,popB,62,58,89,0.5,0.102,0.5
570,popB,61,59,75,1.0,0.102,0.5
571,popB,61,59,7,0.5,0.102,0.5
572,popB,60,60,106,1.0,0.086,0.5
573,popB,60,60,115,1.0,0.086,0.5
574,popB,60,60,96,0.5,0.086,0.5
575,popB,60,60,63,0.5,0.086,0.5
576,popB,60,60,21,1.0,0.086,0.5
577,popB,59,61,44,1.0,0.089,0.5
578,popB,59,61,98,1.0,0.089,0.5
579,popB,58,62,114,1.0,0.086,0.5
580,popB,57,63,48,1.0,0.087,0.5
581,popB,56,64,47,1.0,0.086,0.5
582,popB,56,64,32,1.0,0.088,0.5
583,popB,56,64,26,1.0,0.088,0.5
584,popB,57,63,48,0.5,0.088,0.5
585,popB,57,63,104,1.0,0.087,0.5
586,popB,56,64,111,1.0,0.091,0.5
587,popB,57,63,47,0.5,0.090,0.5
588,popB,57,63,84,0.5,0.089,0.5
589,popB,57,63,58,1.0,0.089,0.5
590,popB,57,63,89,0.5,0.089,0.5
591,popB,57,63,93,0.5,0.089,0.5
592,popB,56,64,13,1.0,0.071,0.5
593,popB,56,64,59,1.0,0.071,0.5
594,popB,56,64,17,0.5,0.071,0.5
595,popB,55,65,31,1.0,0.071,0.5
596,popB,56,64,116,0.5,0.071,0.5
597,popB,55,65,5,1.0,0.071,0.5
598,popB,55,65,14,0.5,0.071,0.5
599,popB,56,64,62,0.5,0.071,0.5
600,popB,56,64,70,1.0,0.071,0.5
601,popB,56,64,30,1.0,0.071,0.5
602,popB,55,65,78,1.0,0.071,0.5
603,popB,55,65,28,1.0,0.070,0.5
604,popB,55,65,69,1.0,0.070,0.5
605,popB,56,64,68,0.5,0.070,0.5
