Generation,Population,Slow_Count,Fast_Count,Mut_Loc,Mutation,Rate,Min
54,popB,56,64,116,1,0.909,1
55,popA,56,64,0,0,0.909,1
56,popA,56,64,0,0,0.909,1
57,popB,56,64,75,1,0.909,1
58,popA,56,64,0,0,0.909,1
59,popA,56,64,0,0,0.909,1
60,popB,56,64,49,1,0.909,1
61,popB,56,64,95,1,0.909,1
62,popB,56,64,52,1,0.909,1
63,popA,56,64,0,0,0.909,1
64,popB,56,64,16,1,0.909,1
65,popB,56,64,1,1,0.909,1
66,popA,56,64,0,0,0.909,1
67,popB,56,64,0,100,0.909,1
68,popB,57,63,109,1,0.819,1
69,popA,57,63,0,0,0.819,1
70,popA,57,63,0,0,0.819,1
71,popA,57,63,0,0,0.819,1
72,popA,57,63,0,0,0.819,1
73,popA,57,63,0,0,0.819,1
74,popA,57,63,0,0,0.819,1
75,popB,57,63,54,100,0.819,1
76,popB,57,63,34,100,0.819,1
77,popB,57,63,55,100,0.819,1
78,popA,57,63,0,0,0.819,1
79,popB,57,63,14,100,0.819,1
80,popB,57,63,58,100,0.819,1
81,popB,57,63,60,100,0.819,1
82,popB,57,63,97,100,0.819,1
83,popB,57,63,39,1,0.819,1
84,popB,58,62,91,1,0.826,1
85,popA,58,62,0,0,0.826,1
86,popB,58,62,81,100,0.826,1
87,popB,58,62,26,100,0.826,1
88,popB,58,62,92,100,0.826,1
89,popB,58,62,34,100,0.826,1
90,popB,58,62,27,100,0.826,1
91,popA,58,62,0,0,0.826,1
92,popB,59,61,32,1,0.861,1
93,popA,59,61,0,0,0.861,1
94,popB,59,61,36,1,0.861,1
95,popB,60,60,76,1,0.882,1
96,popB,60,60,36,1,0.882,1
97,popA,60,60,0,0,0.882,1
98,popB,60,60,87,1,0.882,1
99,popA,60,60,0,0,0.882,1
100,popA,60,60,0,0,0.882,1
101,popA,60,60,0,0,0.882,1
102,popA,60,60,0,0,0.882,1
103,popB,59,61,39,100,0.899,1
104,popB,59,61,23,1,0.899,1
105,popA,59,61,0,0,0.899,1
106,popB,59,61,58,100,0.899,1
107,popA,59,61,0,0,0.899,1
108,popB,59,61,16,1,0.899,1
109,popB,59,61,97,100,0.899,1
110,popB,59,61,17,100,0.899,1
111,popA,59,61,0,0,0.899,1
112,popA,59,61,0,0,0.899,1
113,popB,59,61,36,1,0.899,1
114,popB,59,61,104,100,0.899,1
115,popB,59,61,55,100,0.899,1
116,popB,59,61,114,100,0.899,1
117,popA,59,61,0,0,0.899,1
118,popA,59,61,0,0,0.899,1
119,popB,59,61,65,1,0.899,1
120,popA,59,61,0,0,0.899,1
121,popA,59,61,0,0,0.899,1
122,popA,59,61,0,0,0.899,1
123,popA,59,61,0,0,0.899,1
124,popB,59,61,47,100,0.899,1
125,popB,59,61,56,100,0.899,1
126,popB,59,61,54,100,0.899,1
127,popB,59,61,93,100,0.899,1
128,popB,59,61,38,1,0.899,1
129,popB,59,61,31,100,0.899,1
130,popB,59,61,94,1,0.899,1
131,popA,59,61,0,0,0.899,1
132,popB,59,61,102,1,0.899,1
133,popA,59,61,0,0,0.899,1
134,popB,59,61,86,100,0.899,1
135,popB,59,61,39,100,0.899,1
136,popB,59,61,95,1,0.899,1
137,popB,59,61,79,100,0.899,1
138,popB,59,61,70,1,0.899,1
139,popB,59,61,29,100,0.899,1
140,popB,59,61,115,100,0.899,1
141,popB,59,61,117,1,0.899,1
142,popA,59,61,0,0,0.899,1
143,popA,59,61,0,0,0.899,1
144,popB,58,62,40,100,0.756,1
145,popA,58,62,0,0,0.756,1
146,popA,58,62,0,0,0.756,1
147,popB,58,62,110,1,0.756,1
148,popA,58,62,0,0,0.756,1
149,popB,58,62,19,100,0.756,1
150,popB,58,62,0,100,0.756,1
151,popB,59,61,6,1,0.756,1
152,popB,58,62,38,100,0.858,1
153,popB,58,62,90,1,0.858,1
154,popB,58,62,57,1,0.858,1
155,popA,58,62,0,0,0.858,1
156,popB,57,63,9,100,0.925,1
157,popB,58,62,20,1,0.794,1
158,popB,59,61,12,1,0.865,1
159,popA,59,61,0,0,0.865,1
160,popB,59,61,97,100,0.865,1
161,popA,59,61,0,0,0.865,1
162,popB,59,61,77,1,0.865,1
163,popB,59,61,114,100,0.865,1
164,popA,59,61,0,0,0.865,1
165,popB,59,61,31,100,0.865,1
166,popB,58,62,72,100,0.929,1
167,popB,58,62,50,1,0.929,1
168,popA,58,62,0,0,0.929,1
169,popB,58,62,102,1,0.929,1
170,popA,58,62,0,0,0.929,1
171,popB,58,62,36,1,0.929,1
172,popB,58,62,111,1,0.929,1
173,popA,58,62,0,0,0.929,1
174,popB,58,62,43,1,0.929,1
175,popB,57,63,52,100,0.888,1
176,popB,57,63,8,1,0.888,1
177,popA,57,63,0,0,0.888,1
178,popA,57,63,0,0,0.888,1
179,popB,57,63,86,100,0.888,1
180,popA,57,63,0,0,0.888,1
181,popB,57,63,76,1,0.888,1
182,popB,57,63,46,100,0.888,1
183,popB,57,63,0,100,0.888,1
184,popB,57,63,9,100,0.888,1
185,popB,57,63,93,100,0.888,1
186,popB,58,62,4,1,0.888,1
187,popA,58,62,0,0,0.888,1
188,popA,58,62,0,0,0.888,1
189,popB,58,62,40,100,0.888,1
190,popB,58,62,60,100,0.888,1
191,popA,58,62,0,0,0.888,1
192,popB,58,62,30,100,0.888,1
193,popA,58,62,0,0,0.888,1
194,popA,58,62,0,0,0.888,1
195,popB,58,62,29,100,0.888,1
196,popA,58,62,0,0,0.888,1
197,popB,58,62,58,100,0.888,1
198,popB,58,62,56,100,0.888,1
199,popB,58,62,108,100,0.888,1
200,popB,58,62,22,100,0.888,1
201,popB,58,62,69,1,0.888,1
202,popA,58,62,0,0,0.888,1
203,popB,58,62,73,100,0.888,1
204,popA,58,62,0,0,0.888,1
205,popB,58,62,114,100,0.888,1
206,popB,58,62,27,100,0.888,1
207,popA,58,62,0,0,0.888,1
208,popA,58,62,0,0,0.888,1
209,popB,58,62,79,100,0.888,1
210,popB,59,61,38,1,0.881,1
211,popA,59,61,0,0,0.881,1
212,popA,59,61,0,0,0.881,1
213,popA,59,61,0,0,0.881,1
214,popA,59,61,0,0,0.881,1
215,popA,59,61,0,0,0.881,1
216,popB,59,61,14,100,0.881,1
217,popA,59,61,0,0,0.881,1
218,popB,59,61,80,100,0.881,1
219,popA,59,61,0,0,0.881,1
220,popA,59,61,0,0,0.881,1
221,popB,59,61,114,100,0.881,1
222,popB,59,61,76,1,0.881,1
223,popB,59,61,94,1,0.881,1
224,popB,59,61,34,100,0.881,1
225,popB,59,61,37,1,0.881,1
226,popB,59,61,55,100,0.881,1
227,popB,58,62,16,100,0.802,1
228,popB,58,62,68,1,0.802,1
229,popB,58,62,25,100,0.802,1
230,popB,58,62,106,100,0.802,1
231,popB,58,62,9,100,0.802,1
232,popA,58,62,0,0,0.802,1
233,popB,59,61,16,1,0.881,1
234,popA,59,61,0,0,0.881,1
235,popB,59,61,5,1,0.881,1
236,popA,59,61,0,0,0.881,1
237,popB,59,61,70,1,0.881,1
238,popB,59,61,87,1,0.881,1
239,popA,59,61,0,0,0.881,1
240,popB,59,61,15,1,0.881,1
241,popB,58,62,68,100,0.783,1
242,popB,57,63,77,100,0.916,1
243,popB,57,63,103,1,0.916,1
244,popA,57,63,0,0,0.916,1
245,popA,57,63,0,0,0.916,1
246,popB,57,63,79,100,0.916,1
247,popB,57,63,97,100,0.916,1
248,popA,57,63,0,0,0.916,1
249,popA,57,63,0,0,0.916,1
250,popB,57,63,31,100,0.916,1
251,popA,57,63,0,0,0.916,1
252,popA,57,63,0,0,0.916,1
253,popA,57,63,0,0,0.916,1
254,popB,57,63,81,100,0.916,1
255,popB,57,63,4,1,0.916,1
256,popB,57,63,5,1,0.916,1
257,popB,57,63,95,1,0.916,1
258,popB,57,63,31,100,0.916,1
259,popB,57,63,7,1,0.916,1
260,popA,57,63,0,0,0.916,1
261,popB,57,63,85,100,0.916,1
262,popA,57,63,0,0,0.916,1
263,popB,56,64,1,100,0.916,1
264,popA,56,64,0,0,0.916,1
265,popB,56,64,74,100,0.916,1
266,popA,56,64,0,0,0.916,1
267,popB,56,64,116,1,0.916,1
268,popB,56,64,116,1,0.916,1
269,popB,56,64,97,100,0.916,1
270,popB,56,64,43,1,0.916,1
271,popA,56,64,0,0,0.916,1
272,popB,55,65,5,100,0.916,1
273,popA,55,65,0,0,0.916,1
274,popA,55,65,0,0,0.916,1
275,popA,55,65,0,0,0.916,1
276,popA,55,65,0,0,0.916,1
277,popA,55,65,0,0,0.916,1
278,popB,55,65,88,100,0.916,1
279,popB,55,65,8,1,0.916,1
280,popB,55,65,98,1,0.916,1
281,popB,55,65,103,1,0.916,1
282,popB,55,65,34,100,0.916,1
283,popB,55,65,24,1,0.916,1
284,popB,55,65,49,1,0.916,1
285,popB,55,65,72,100,0.916,1
286,popA,55,65,0,0,0.916,1
287,popB,55,65,114,100,0.916,1
288,popA,55,65,0,0,0.916,1
289,popA,55,65,0,0,0.916,1
290,popA,55,65,0,0,0.916,1
291,popB,55,65,24,1,0.916,1
292,popA,55,65,0,0,0.916,1
293,popB,55,65,91,1,0.916,1
294,popB,55,65,21,1,0.916,1
295,popA,55,65,0,0,0.916,1
296,popA,55,65,0,0,0.916,1
297,popA,55,65,0,0,0.916,1
298,popB,55,65,96,1,0.916,1
299,popB,55,65,71,100,0.916,1
300,popA,55,65,0,0,0.916,1
301,popA,55,65,0,0,0.916,1
302,popB,55,65,90,1,0.916,1
303,popA,55,65,0,0,0.916,1
304,popB,55,65,90,1,0.916,1
305,popB,55,65,50,1,0.916,1
306,popB,55,65,67,1,0.916,1
307,popB,56,64,3,1,0.916,1
308,popB,55,65,33,100,0.846,1
309,popA,55,65,0,0,0.846,1
310,popB,55,65,40,100,0.846,1
311,popA,55,65,0,0,0.846,1
312,popB,56,64,54,1,0.772,1
313,popB,55,65,94,100,0.839,1
314,popB,55,65,80,100,0.839,1
315,popA,55,65,0,0,0.839,1
316,popA,55,65,0,0,0.839,1
317,popB,55,65,56,100,0.839,1
318,popB,55,65,6,1,0.839,1
319,popA,55,65,0,0,0.839,1
320,popA,55,65,0,0,0.839,1
321,popB,55,65,69,1,0.839,1
322,popB,55,65,115,100,0.839,1
323,popB,56,64,80,1,0.733,1
324,popB,57,63,72,1,0.808,1
325,popB,57,63,65,1,0.808,1
326,popB,57,63,2,100,0.808,1
327,popB,57,63,21,1,0.808,1
328,popA,57,63,0,0,0.808,1
329,popA,57,63,0,0,0.808,1
330,popB,56,64,78,100,0.822,1
331,popB,56,64,11,100,0.822,1
332,popB,57,63,22,1,0.921,1
333,popB,58,62,93,1,0.884,1
334,popB,57,63,117,100,0.88,1
335,popB,57,63,0,100,0.88,1
336,popA,57,63,0,0,0.88,1
337,popB,57,63,14,100,0.88,1
338,popB,57,63,64,1,0.88,1
339,popA,57,63,0,0,0.88,1
340,popA,57,63,0,0,0.88,1
341,popB,57,63,11,100,0.88,1
342,popA,57,63,0,0,0.88,1
343,popB,57,63,13,1,0.88,1
344,popA,57,63,0,0,0.88,1
345,popA,57,63,0,0,0.88,1
346,popB,57,63,49,1,0.88,1
347,popA,57,63,0,0,0.88,1
348,popB,57,63,67,1,0.88,1
349,popB,57,63,21,1,0.88,1
350,popB,57,63,118,1,0.88,1
351,popB,58,62,117,1,0.884,1
352,popB,57,63,3,100,0.884,1
353,popB,57,63,74,100,0.884,1
354,popB,57,63,113,1,0.884,1
355,popB,57,63,81,100,0.884,1
356,popB,57,63,62,100,0.884,1
357,popB,57,63,98,1,0.884,1
358,popB,58,62,3,1,0.884,1
359,popA,58,62,0,0,0.884,1
360,popB,58,62,99,100,0.884,1
361,popA,58,62,0,0,0.884,1
362,popB,58,62,76,1,0.884,1
363,popB,58,62,48,100,0.884,1
364,popA,58,62,0,0,0.884,1
365,popA,58,62,0,0,0.884,1
366,popB,58,62,3,1,0.884,1
367,popA,58,62,0,0,0.884,1
368,popB,59,61,2,1,0.884,1
369,popB,59,61,117,1,0.884,1
370,popB,59,61,41,100,0.884,1
371,popB,59,61,46,100,0.884,1
372,popA,59,61,0,0,0.884,1
373,popB,58,62,8,100,0.87,1
374,popB,58,62,34,100,0.87,1
375,popB,58,62,28,100,0.87,1
376,popB,58,62,62,100,0.87,1
377,popB,58,62,67,1,0.87,1
378,popB,58,62,37,1,0.87,1
379,popB,58,62,78,100,0.87,1
380,popB,58,62,74,100,0.87,1
381,popB,58,62,34,100,0.87,1
382,popB,58,62,119,1,0.87,1
383,popB,58,62,76,1,0.87,1
384,popA,58,62,0,0,0.87,1
385,popB,58,62,13,1,0.87,1
386,popA,58,62,0,0,0.87,1
387,popB,58,62,30,100,0.87,1
388,popB,58,62,100,1,0.87,1
389,popB,58,62,51,100,0.87,1
390,popA,58,62,0,0,0.87,1
391,popB,58,62,7,1,0.87,1
392,popB,59,61,73,1,0.871,1
393,popA,59,61,0,0,0.871,1
394,popB,59,61,78,100,0.871,1
395,popB,59,61,92,100,0.871,1
396,popB,58,62,109,100,0.886,1
397,popB,58,62,88,100,0.886,1
398,popA,58,62,0,0,0.886,1
399,popA,58,62,0,0,0.886,1
400,popB,58,62,79,100,0.886,1
401,popB,58,62,106,100,0.886,1
402,popB,58,62,31,100,0.886,1
403,popB,59,61,47,1,0.896,1
404,popB,58,62,16,100,0.865,1
405,popB,58,62,59,1,0.865,1
406,popB,58,62,111,1,0.865,1
407,popB,57,63,3,100,0.865,1
408,popB,57,63,48,100,0.865,1
409,popB,57,63,107,100,0.865,1
410,popB,57,63,37,1,0.865,1
411,popA,57,63,0,0,0.865,1
412,popB,57,63,100,1,0.865,1
413,popA,57,63,0,0,0.865,1
414,popB,58,62,58,1,0.853,1
415,popB,58,62,66,1,0.853,1
416,popB,58,62,63,100,0.853,1
417,popB,58,62,42,100,0.853,1
418,popB,58,62,0,100,0.853,1
419,popA,58,62,0,0,0.853,1
420,popB,58,62,35,100,0.853,1
421,popA,58,62,0,0,0.853,1
422,popA,58,62,0,0,0.853,1
423,popB,58,62,48,100,0.853,1
424,popA,58,62,0,0,0.853,1
425,popB,58,62,43,1,0.853,1
426,popA,58,62,0,0,0.853,1
427,popA,58,62,0,0,0.853,1
428,popA,58,62,0,0,0.853,1
429,popB,59,61,55,1,0.843,1
430,popB,58,62,98,100,1.084,1
431,popA,58,62,0,0,1.084,1
432,popB,59,61,106,1,0.891,1
433,popB,60,60,78,1,0.92,1
434,popB,59,61,53,100,1.002,1
435,popB,59,61,78,1,1.002,1
436,popA,59,61,0,0,1.002,1
437,popB,59,61,22,1,1.002,1
438,popB,59,61,40,100,1.002,1
439,popB,60,60,53,1,0.92,1
440,popB,59,61,95,100,0.871,1
441,popB,59,61,60,100,0.871,1
442,popB,59,61,85,100,0.871,1
443,popB,58,62,96,100,0.906,1
444,popA,58,62,0,0,0.906,1
445,popA,58,62,0,0,0.906,1
446,popB,58,62,47,1,0.906,1
447,popA,58,62,0,0,0.906,1
448,popB,58,62,61,1,0.906,1
449,popB,58,62,42,100,0.906,1
450,popA,58,62,0,0,0.906,1
451,popB,58,62,12,1,0.906,1
452,popB,59,61,26,1,0.974,1
453,popB,59,61,114,100,0.974,1
454,popB,59,61,59,1,0.974,1
455,popB,59,61,27,100,0.974,1
456,popA,59,61,0,0,0.974,1
457,popB,59,61,7,1,0.974,1
458,popA,59,61,0,0,0.974,1
459,popA,59,61,0,0,0.974,1
460,popB,59,61,99,100,0.974,1
461,popB,59,61,14,100,0.974,1
462,popB,59,61,87,1,0.974,1
463,popA,59,61,0,0,0.974,1
464,popB,59,61,112,100,0.974,1
465,popA,59,61,0,0,0.974,1
466,popA,59,61,0,0,0.974,1
467,popB,59,61,6,1,0.974,1
468,popB,59,61,9,100,0.974,1
469,popA,59,61,0,0,0.974,1
470,popB,59,61,5,100,0.974,1
471,popB,59,61,63,100,0.974,1
472,popA,59,61,0,0,0.974,1
473,popB,59,61,68,100,0.974,1
474,popB,59,61,110,1,0.974,1
475,popB,59,61,117,1,0.974,1
476,popB,59,61,107,100,0.974,1
477,popA,59,61,0,0,0.974,1
478,popB,59,61,102,1,0.974,1
479,popA,59,61,0,0,0.974,1
480,popB,59,61,39,100,0.974,1
481,popA,59,61,0,0,0.974,1
482,popA,59,61,0,0,0.974,1
483,popB,59,61,27,100,0.974,1
484,popB,59,61,9,100,0.974,1
485,popB,59,61,69,1,0.974,1
486,popA,59,61,0,0,0.974,1
487,popA,59,61,0,0,0.974,1
488,popA,59,61,0,0,0.974,1
489,popA,59,61,0,0,0.974,1
490,popB,59,61,29,100,0.974,1
491,popA,59,61,0,0,0.974,1
492,popA,59,61,0,0,0.974,1
493,popB,59,61,10,100,0.974,1
494,popB,60,60,45,1,1.015,1
495,popA,60,60,0,0,1.015,1
496,popB,60,60,50,1,1.015,1
497,popB,60,60,49,1,1.015,1
498,popA,60,60,0,0,1.015,1
499,popB,60,60,17,100,1.015,1
500,popB,60,60,45,1,1.015,1
0,popB,69,51,50,100,0.817,2
1,popB,69,51,45,2,0.817,2
2,popB,70,50,80,2,0.966,2
3,popB,70,50,32,2,0.966,2
4,popA,70,50,0,0,0.966,2
5,popB,70,50,55,2,0.966,2
6,popB,71,49,119,2,0.864,2
7,popA,71,49,0,0,0.864,2
8,popA,71,49,0,0,0.864,2
9,popB,71,49,61,100,0.864,2
10,popB,72,48,98,2,0.837,2
11,popB,72,48,106,2,0.837,2
12,popB,72,48,49,2,0.837,2
13,popB,71,49,28,100,0.757,2
14,popB,71,49,30,100,0.757,2
15,popB,70,50,7,100,0.758,2
16,popB,71,49,36,2,0.815,2
17,popB,72,48,51,2,0.777,2
18,popB,73,47,33,2,0.945,2
19,popA,73,47,0,0,0.945,2
20,popA,73,47,0,0,0.945,2
21,popB,72,48,117,100,0.953,2
22,popB,72,48,80,2,0.953,2
23,popA,72,48,0,0,0.953,2
24,popA,72,48,0,0,0.953,2
25,popA,72,48,0,0,0.953,2
26,popA,72,48,0,0,0.953,2
27,popB,72,48,1,2,0.953,2
28,popB,72,48,22,2,0.953,2
29,popB,72,48,14,100,0.953,2
30,popB,72,48,111,100,0.953,2
31,popB,72,48,45,2,0.953,2
32,popB,73,47,64,2,1.149,2
33,popB,73,47,62,2,1.149,2
34,popA,73,47,0,0,1.149,2
35,popA,73,47,0,0,1.149,2
36,popB,73,47,8,100,1.149,2
37,popB,73,47,110,2,1.149,2
38,popA,73,47,0,0,1.149,2
39,popB,73,47,119,2,1.149,2
40,popA,73,47,0,0,1.149,2
41,popB,73,47,34,100,1.149,2
42,popA,73,47,0,0,1.149,2
43,popA,73,47,0,0,1.149,2
44,popA,73,47,0,0,1.149,2
45,popA,73,47,0,0,1.149,2
46,popB,72,48,4,100,1.149,2
47,popB,71,49,2,100,1.149,2
48,popB,71,49,103,2,1.149,2
49,popB,72,48,4,2,1.149,2
50,popA,72,48,0,0,1.149,2
51,popB,72,48,3,100,1.149,2
52,popB,72,48,26,100,1.149,2
53,popB,72,48,69,2,1.149,2
54,popB,72,48,75,2,1.149,2
55,popA,72,48,0,0,1.149,2
56,popA,72,48,0,0,1.149,2
57,popA,72,48,0,0,1.149,2
58,popA,72,48,0,0,1.149,2
59,popB,72,48,11,100,1.149,2
60,popB,72,48,108,2,1.149,2
61,popB,72,48,119,2,1.149,2
62,popA,72,48,0,0,1.149,2
63,popA,72,48,0,0,1.149,2
64,popA,72,48,0,0,1.149,2
65,popA,72,48,0,0,1.149,2
66,popA,72,48,0,0,1.149,2
67,popA,72,48,0,0,1.149,2
68,popA,72,48,0,0,1.149,2
69,popB,72,48,54,2,1.149,2
70,popA,72,48,0,0,1.149,2
71,popB,71,49,93,100,0.903,2
72,popA,71,49,0,0,0.903,2
73,popB,71,49,42,2,0.903,2
74,popB,71,49,104,100,0.903,2
75,popB,70,50,97,100,0.876,2
76,popB,71,49,117,2,0.825,2
77,popB,72,48,47,2,0.844,2
78,popB,72,48,30,100,0.844,2
79,popB,72,48,40,2,0.844,2
80,popB,71,49,116,100,0.878,2
81,popB,70,50,119,100,0.876,2
82,popB,70,50,4,2,0.876,2
83,popB,70,50,12,2,0.876,2
84,popB,71,49,81,2,0.857,2
85,popB,70,50,32,100,0.983,2
86,popB,70,50,13,100,0.983,2
87,popB,70,50,11,100,0.983,2
88,popB,70,50,98,2,0.983,2
89,popB,70,50,52,100,0.983,2
90,popB,70,50,89,100,0.983,2
91,popB,70,50,114,100,0.983,2
92,popA,70,50,0,0,0.983,2
93,popB,71,49,0,2,0.983,2
94,popB,71,49,92,2,0.983,2
95,popA,71,49,0,0,0.983,2
96,popB,71,49,67,2,0.983,2
97,popB,71,49,18,2,0.983,2
98,popA,71,49,0,0,0.983,2
99,popB,71,49,81,2,0.983,2
100,popB,71,49,18,2,0.983,2
101,popA,71,49,0,0,0.983,2
102,popB,71,49,1,2,0.983,2
103,popA,71,49,0,0,0.983,2
104,popB,71,49,56,100,0.983,2
105,popB,71,49,22,2,0.983,2
106,popB,71,49,62,2,0.983,2
107,popB,71,49,37,2,0.983,2
108,popA,71,49,0,0,0.983,2
109,popB,71,49,92,2,0.983,2
110,popB,71,49,102,100,0.983,2
111,popB,71,49,81,2,0.983,2
112,popB,71,49,67,2,0.983,2
113,popB,71,49,44,100,0.983,2
114,popA,71,49,0,0,0.983,2
115,popB,71,49,27,2,0.983,2
116,popB,71,49,111,100,0.983,2
117,popA,71,49,0,0,0.983,2
118,popB,71,49,69,2,0.983,2
119,popA,71,49,0,0,0.983,2
120,popB,70,50,49,100,0.875,2
121,popB,70,50,111,100,0.875,2
122,popB,71,49,89,2,0.804,2
123,popA,71,49,0,0,0.804,2
124,popB,70,50,53,100,0.809,2
125,popA,70,50,0,0,0.809,2
126,popB,70,50,52,100,0.809,2
127,popB,70,50,69,2,0.809,2
128,popB,70,50,34,100,0.809,2
129,popA,70,50,0,0,0.809,2
130,popB,69,51,73,100,0.783,2
131,popB,69,51,45,2,0.783,2
132,popB,69,51,26,100,0.783,2
133,popB,69,51,77,100,0.783,2
134,popB,69,51,27,2,0.783,2
135,popB,70,50,112,2,0.955,2
136,popB,70,50,11,100,0.955,2
137,popB,70,50,106,2,0.955,2
138,popB,71,49,61,2,0.958,2
139,popA,71,49,0,0,0.958,2
140,popB,71,49,1,2,0.958,2
141,popB,71,49,25,2,0.958,2
142,popA,71,49,0,0,0.958,2
143,popB,71,49,102,100,0.958,2
144,popB,70,50,24,100,0.974,2
145,popB,71,49,48,2,0.947,2
146,popB,71,49,72,2,0.947,2
147,popB,72,48,88,2,0.956,2
148,popA,72,48,0,0,0.956,2
149,popB,72,48,99,2,0.956,2
150,popB,72,48,62,2,0.956,2
151,popB,73,47,39,2,0.967,2
152,popB,73,47,67,2,0.967,2
153,popA,73,47,0,0,0.967,2
154,popA,73,47,0,0,0.967,2
155,popB,73,47,3,100,0.967,2
156,popB,73,47,70,100,0.967,2
157,popA,73,47,0,0,0.967,2
158,popA,73,47,0,0,0.967,2
159,popB,73,47,32,100,0.967,2
160,popB,73,47,20,2,0.967,2
161,popB,73,47,114,100,0.967,2
162,popB,73,47,79,2,0.967,2
163,popA,73,47,0,0,0.967,2
164,popB,73,47,76,100,0.967,2
165,popA,73,47,0,0,0.967,2
166,popB,73,47,35,2,0.967,2
167,popA,73,47,0,0,0.967,2
168,popB,73,47,108,2,0.967,2
169,popB,73,47,86,2,0.967,2
170,popB,73,47,90,2,0.967,2
171,popB,73,47,70,100,0.967,2
172,popB,73,47,34,100,0.967,2
173,popB,73,47,45,2,0.967,2
174,popA,73,47,0,0,0.967,2
175,popB,73,47,64,2,0.967,2
176,popA,73,47,0,0,0.967,2
177,popB,72,48,0,100,0.967,2
178,popA,72,48,0,0,0.967,2
179,popA,72,48,0,0,0.967,2
180,popB,72,48,52,100,0.967,2
181,popB,72,48,36,2,0.967,2
182,popB,72,48,90,2,0.967,2
183,popA,72,48,0,0,0.967,2
184,popB,71,49,103,100,0.995,2
185,popA,71,49,0,0,0.995,2
186,popB,71,49,108,2,0.995,2
187,popB,71,49,33,2,0.995,2
188,popB,71,49,78,2,0.995,2
189,popB,71,49,35,2,0.995,2
190,popB,71,49,94,100,0.995,2
191,popB,71,49,37,2,0.995,2
192,popB,71,49,87,2,0.995,2
193,popB,71,49,94,100,0.995,2
194,popB,71,49,1,2,0.995,2
195,popB,71,49,97,100,0.995,2
196,popA,71,49,0,0,0.995,2
197,popB,71,49,108,2,0.995,2
198,popB,71,49,61,2,0.995,2
199,popB,71,49,46,2,0.995,2
200,popB,71,49,67,2,0.995,2
201,popA,71,49,0,0,0.995,2
202,popA,71,49,0,0,0.995,2
203,popB,71,49,35,2,0.995,2
204,popA,71,49,0,0,0.995,2
205,popB,71,49,31,2,0.995,2
206,popB,71,49,31,2,0.995,2
207,popB,71,49,42,2,0.995,2
208,popB,71,49,85,2,0.995,2
209,popA,71,49,0,0,0.995,2
210,popB,71,49,89,2,0.995,2
211,popA,71,49,0,0,0.995,2
212,popB,71,49,29,100,0.995,2
213,popA,71,49,0,0,0.995,2
214,popB,71,49,68,2,0.995,2
215,popA,71,49,0,0,0.995,2
216,popA,71,49,0,0,0.995,2
217,popB,71,49,81,2,0.995,2
218,popB,71,49,28,100,0.995,2
219,popA,71,49,0,0,0.995,2
220,popB,71,49,8,100,0.995,2
221,popB,72,48,50,2,0.866,2
222,popB,72,48,23,2,0.866,2
223,popB,72,48,16,100,0.866,2
224,popB,72,48,25,2,0.866,2
225,popA,72,48,0,0,0.866,2
226,popB,72,48,92,2,0.866,2
227,popB,72,48,82,2,0.866,2
228,popA,72,48,0,0,0.866,2
229,popB,72,48,74,2,0.866,2
230,popA,72,48,0,0,0.866,2
