Generation,Population,Slow_Count,Fast_Count,Mut_Loc,Prod_rt,Min 
68,popB,53,67,60,25.0,2.121,25.0
69,popB,53,67,93,25.0,2.121,25.0
70,popB,53,67,41,25.0,2.121,25.0
71,popB,54,66,8,25.0,1.990,25.0
72,popB,55,65,54,25.0,1.932,25.0
73,popB,54,66,61,50.0,1.942,25.0
74,popB,54,66,108,50.0,1.942,25.0
75,popB,55,65,94,25.0,2.075,25.0
76,popB,56,64,43,25.0,1.886,25.0
77,popB,56,64,64,50.0,1.886,25.0
78,popB,56,64,106,25.0,1.886,25.0
79,popB,56,64,46,25.0,1.886,25.0
80,popA,56,64,0,0,1.886,25.0
81,popB,56,64,53,50.0,1.886,25.0
82,popB,56,64,117,25.0,1.886,25.0
83,popB,56,64,104,50.0,1.886,25.0
84,popB,57,63,101,25.0,2.052,25.0
85,popB,58,62,74,25.0,2.125,25.0
86,popB,57,63,25,50.0,2.278,25.0
87,popB,56,64,1,50.0,2.278,25.0
88,popB,57,63,58,25.0,1.957,25.0
89,popB,57,63,48,25.0,1.957,25.0
90,popB,57,63,20,50.0,1.957,25.0
91,popB,56,64,106,50.0,1.970,25.0
92,popB,56,64,84,50.0,1.970,25.0
93,popB,55,65,114,50.0,1.994,25.0
94,popB,56,64,71,25.0,2.085,25.0
95,popB,56,64,77,50.0,2.085,25.0
96,popB,56,64,55,25.0,2.085,25.0
97,popB,57,63,0,25.0,2.085,25.0
98,popB,57,63,54,25.0,2.085,25.0
99,popB,56,64,29,50.0,2.059,25.0
100,popB,56,64,62,50.0,2.059,25.0
101,popA,56,64,0,0,2.059,25.0
102,popB,55,65,58,50.0,2.223,25.0
103,popB,55,65,80,50.0,2.223,25.0
104,popA,55,65,0,0,2.223,25.0
105,popA,55,65,0,0,2.223,25.0
106,popA,55,65,0,0,2.223,25.0
107,popB,55,65,105,25.0,2.223,25.0
108,popA,55,65,0,0,2.223,25.0
109,popB,55,65,66,50.0,2.223,25.0
110,popB,55,65,111,25.0,2.223,25.0
111,popB,55,65,112,25.0,2.223,25.0
112,popB,56,64,108,25.0,2.041,25.0
113,popB,57,63,84,25.0,2.103,25.0
114,popB,57,63,29,50.0,2.103,25.0
115,popB,58,62,62,25.0,2.299,25.0
116,popB,59,61,81,25.0,2.313,25.0
117,popA,59,61,0,0,2.313,25.0
118,popB,59,61,101,25.0,2.313,25.0
119,popB,59,61,83,50.0,2.313,25.0
120,popA,59,61,0,0,2.313,25.0
121,popB,59,61,55,25.0,2.313,25.0
122,popB,59,61,105,25.0,2.313,25.0
123,popB,60,60,40,25.0,2.358,25.0
124,popA,60,60,0,0,2.358,25.0
125,popA,60,60,0,0,2.358,25.0
126,popA,60,60,0,0,2.358,25.0
127,popA,60,60,0,0,2.358,25.0
128,popB,60,60,108,25.0,2.358,25.0
129,popB,61,59,29,25.0,2.113,25.0
130,popB,61,59,26,50.0,2.113,25.0
131,popB,61,59,62,25.0,2.113,25.0
132,popB,62,58,70,25.0,2.010,25.0
133,popB,61,59,2,50.0,2.010,25.0
134,popB,60,60,87,50.0,2.000,25.0
135,popB,60,60,113,50.0,2.000,25.0
136,popB,60,60,107,25.0,2.000,25.0
137,popB,61,59,106,25.0,2.041,25.0
138,popB,62,58,115,25.0,2.032,25.0
139,popB,61,59,112,50.0,2.035,25.0
140,popB,61,59,30,25.0,2.035,25.0
141,popB,61,59,18,50.0,2.035,25.0
142,popA,61,59,0,0,2.035,25.0
143,popB,61,59,15,50.0,2.035,25.0
144,popB,61,59,76,50.0,2.035,25.0
145,popB,61,59,73,25.0,2.035,25.0
146,popB,62,58,76,25.0,2.069,25.0
147,popB,62,58,56,25.0,2.069,25.0
148,popB,62,58,106,25.0,2.069,25.0
149,popB,62,58,70,25.0,2.069,25.0
150,popB,63,57,5,25.0,2.069,25.0
151,popB,63,57,55,25.0,2.069,25.0
152,popB,62,58,32,50.0,2.124,25.0
153,popB,62,58,44,50.0,2.124,25.0
154,popB,63,57,58,25.0,1.822,25.0
155,popB,63,57,31,25.0,1.822,25.0
156,popB,63,57,31,25.0,1.822,25.0
157,popB,62,58,84,50.0,1.965,25.0
158,popB,62,58,75,50.0,1.965,25.0
159,popB,61,59,118,50.0,1.953,25.0
160,popB,61,59,71,25.0,1.953,25.0
161,popB,61,59,101,25.0,1.953,25.0
162,popB,61,59,73,25.0,1.953,25.0
163,popB,62,58,25,25.0,1.995,25.0
164,popB,62,58,38,25.0,1.995,25.0
165,popB,61,59,62,50.0,2.143,25.0
166,popB,61,59,91,25.0,2.143,25.0
167,popB,61,59,97,50.0,2.143,25.0
168,popB,61,59,37,25.0,2.143,25.0
169,popB,60,60,49,50.0,1.978,25.0
170,popB,61,59,28,25.0,2.021,25.0
171,popB,61,59,12,50.0,2.021,25.0
172,popB,60,60,59,50.0,1.992,25.0
173,popB,60,60,78,25.0,1.992,25.0
174,popB,59,61,43,50.0,2.113,25.0
175,popB,59,61,115,25.0,2.113,25.0
176,popB,59,61,1,50.0,2.113,25.0
177,popB,59,61,63,50.0,2.113,25.0
178,popB,59,61,26,50.0,2.113,25.0
179,popB,59,61,104,50.0,2.113,25.0
180,popB,60,60,43,25.0,1.992,25.0
181,popB,59,61,35,50.0,2.040,25.0
182,popB,59,61,48,25.0,2.040,25.0
183,popB,58,62,74,50.0,2.169,25.0
184,popB,57,63,89,50.0,2.115,25.0
185,popB,57,63,61,50.0,2.115,25.0
186,popB,58,62,2,25.0,2.115,25.0
187,popB,57,63,38,50.0,2.143,25.0
188,popB,57,63,41,25.0,2.143,25.0
189,popA,57,63,0,0,2.143,25.0
190,popB,58,62,103,25.0,2.025,25.0
191,popB,58,62,1,50.0,2.025,25.0
192,popB,59,61,69,25.0,2.177,25.0
193,popB,58,62,110,50.0,1.968,25.0
194,popB,58,62,39,50.0,1.968,25.0
195,popB,57,63,6,50.0,1.968,25.0
196,popB,57,63,112,50.0,1.968,25.0
197,popB,57,63,97,50.0,1.968,25.0
198,popB,56,64,29,50.0,1.918,25.0
199,popB,57,63,4,25.0,1.918,25.0
200,popB,58,62,118,25.0,2.041,25.0
201,popB,59,61,18,25.0,1.878,25.0
202,popB,59,61,109,25.0,1.878,25.0
203,popB,58,62,105,50.0,2.139,25.0
204,popB,57,63,22,50.0,2.069,25.0
205,popB,57,63,95,50.0,2.069,25.0
206,popA,57,63,0,0,2.069,25.0
207,popB,58,62,32,25.0,2.261,25.0
208,popB,58,62,31,25.0,2.261,25.0
209,popA,58,62,0,0,2.261,25.0
210,popB,58,62,67,50.0,2.261,25.0
211,popA,58,62,0,0,2.261,25.0
212,popB,58,62,44,50.0,2.261,25.0
213,popB,58,62,13,50.0,2.261,25.0
214,popB,58,62,116,25.0,2.261,25.0
215,popB,58,62,97,50.0,2.261,25.0
216,popA,58,62,0,0,2.261,25.0
217,popB,59,61,24,25.0,2.086,25.0
218,popB,59,61,46,25.0,2.086,25.0
219,popB,59,61,67,50.0,2.086,25.0
220,popA,59,61,0,0,2.086,25.0
221,popB,58,62,93,50.0,2.136,25.0
222,popB,59,61,1,25.0,2.136,25.0
223,popA,59,61,0,0,2.136,25.0
224,popB,59,61,116,25.0,2.136,25.0
225,popB,59,61,57,25.0,2.136,25.0
226,popB,58,62,71,50.0,2.089,25.0
227,popB,58,62,44,50.0,2.089,25.0
228,popB,58,62,22,50.0,2.089,25.0
229,popB,58,62,33,50.0,2.089,25.0
230,popB,58,62,41,25.0,2.089,25.0
231,popB,58,62,54,25.0,2.089,25.0
232,popB,58,62,65,50.0,2.089,25.0
233,popB,57,63,5,50.0,2.089,25.0
234,popB,58,62,26,25.0,2.300,25.0
235,popA,58,62,0,0,2.300,25.0
236,popB,59,61,105,25.0,2.293,25.0
237,popB,59,61,82,25.0,2.293,25.0
238,popA,59,61,0,0,2.293,25.0
239,popB,59,61,76,25.0,2.293,25.0
240,popB,59,61,48,25.0,2.293,25.0
241,popA,59,61,0,0,2.293,25.0
242,popB,59,61,10,50.0,2.293,25.0
243,popB,59,61,70,25.0,2.293,25.0
244,popA,59,61,0,0,2.293,25.0
245,popB,59,61,35,50.0,2.293,25.0
246,popA,59,61,0,0,2.293,25.0
247,popB,59,61,80,50.0,2.293,25.0
248,popB,59,61,34,50.0,2.293,25.0
249,popB,59,61,41,25.0,2.293,25.0
250,popB,59,61,105,25.0,2.293,25.0
251,popB,58,62,50,50.0,2.334,25.0
252,popA,58,62,0,0,2.334,25.0
253,popB,58,62,21,50.0,2.334,25.0
254,popB,58,62,93,50.0,2.334,25.0
255,popA,58,62,0,0,2.334,25.0
256,popA,58,62,0,0,2.334,25.0
257,popB,57,63,43,50.0,2.223,25.0
258,popB,56,64,91,50.0,2.213,25.0
259,popB,55,65,115,50.0,2.164,25.0
260,popA,55,65,0,0,2.164,25.0
261,popB,54,66,37,50.0,2.144,25.0
262,popB,53,67,111,50.0,2.208,25.0
263,popB,52,68,69,50.0,2.119,25.0
264,popB,52,68,75,50.0,2.119,25.0
265,popB,53,67,21,25.0,2.169,25.0
266,popB,53,67,41,25.0,2.169,25.0
267,popB,54,66,63,25.0,2.082,25.0
268,popB,54,66,29,50.0,2.082,25.0
269,popA,54,66,0,0,2.082,25.0
270,popB,54,66,35,50.0,2.082,25.0
271,popB,55,65,38,25.0,2.278,25.0
272,popB,55,65,58,25.0,2.278,25.0
273,popB,55,65,57,25.0,2.278,25.0
274,popA,55,65,0,0,2.278,25.0
275,popB,54,66,106,50.0,1.943,25.0
276,popB,55,65,33,25.0,2.158,25.0
277,popB,56,64,20,25.0,1.920,25.0
278,popB,55,65,70,50.0,1.963,25.0
279,popB,55,65,39,50.0,1.963,25.0
280,popB,55,65,116,25.0,1.963,25.0
281,popB,56,64,114,25.0,1.999,25.0
282,popB,55,65,78,50.0,2.230,25.0
283,popB,55,65,82,25.0,2.230,25.0
284,popB,55,65,85,50.0,2.230,25.0
285,popB,55,65,40,25.0,2.230,25.0
286,popA,55,65,0,0,2.230,25.0
287,popA,55,65,0,0,2.230,25.0
288,popB,56,64,112,25.0,2.046,25.0
289,popB,55,65,41,50.0,2.007,25.0
290,popB,56,64,80,25.0,2.103,25.0
291,popB,57,63,22,25.0,2.051,25.0
292,popB,57,63,96,25.0,2.051,25.0
293,popB,56,64,108,50.0,2.085,25.0
294,popB,56,64,40,25.0,2.085,25.0
295,popB,56,64,41,50.0,2.085,25.0
296,popB,57,63,70,25.0,2.073,25.0
297,popB,57,63,12,50.0,2.073,25.0
298,popB,58,62,102,25.0,2.067,25.0
299,popB,58,62,11,50.0,2.067,25.0
300,popB,58,62,82,25.0,2.067,25.0
301,popB,59,61,106,25.0,2.053,25.0
302,popB,60,60,88,25.0,2.075,25.0
303,popB,59,61,118,50.0,2.083,25.0
304,popB,58,62,76,50.0,2.101,25.0
305,popB,58,62,98,50.0,2.101,25.0
306,popB,58,62,51,50.0,2.101,25.0
307,popB,57,63,52,50.0,2.068,25.0
308,popB,57,63,42,50.0,2.068,25.0
309,popB,57,63,22,25.0,2.068,25.0
310,popB,56,64,36,50.0,2.049,25.0
311,popB,57,63,64,25.0,2.051,25.0
312,popB,58,62,85,25.0,2.073,25.0
313,popB,58,62,36,50.0,2.073,25.0
314,popB,58,62,12,50.0,2.073,25.0
315,popB,57,63,81,50.0,2.061,25.0
316,popB,58,62,87,25.0,2.086,25.0
317,popB,58,62,0,25.0,2.086,25.0
318,popB,57,63,72,50.0,2.094,25.0
319,popB,57,63,65,50.0,2.094,25.0
320,popB,57,63,65,50.0,2.094,25.0
321,popB,56,64,106,50.0,2.089,25.0
322,popB,56,64,28,25.0,2.089,25.0
323,popB,57,63,44,25.0,2.076,25.0
324,popB,56,64,26,50.0,2.056,25.0
325,popB,57,63,14,25.0,2.034,25.0
326,popB,58,62,95,25.0,2.114,25.0
327,popB,58,62,70,25.0,2.114,25.0
328,popB,58,62,49,50.0,2.114,25.0
329,popB,58,62,33,25.0,2.114,25.0
330,popB,57,63,47,50.0,2.074,25.0
331,popB,56,64,57,50.0,2.063,25.0
332,popB,57,63,42,25.0,1.872,25.0
333,popB,57,63,11,50.0,1.872,25.0
334,popB,57,63,15,50.0,1.872,25.0
335,popB,57,63,112,25.0,1.872,25.0
336,popB,56,64,101,50.0,1.880,25.0
337,popB,56,64,47,50.0,1.880,25.0
338,popB,56,64,3,50.0,1.880,25.0
339,popB,56,64,94,25.0,1.880,25.0
340,popB,57,63,77,25.0,1.966,25.0
341,popB,56,64,119,50.0,1.928,25.0
342,popB,56,64,63,25.0,1.928,25.0
343,popA,56,64,0,0,1.928,25.0
344,popB,57,63,106,25.0,1.914,25.0
345,popB,57,63,60,25.0,1.914,25.0
346,popB,58,62,10,25.0,1.930,25.0
347,popB,58,62,83,50.0,1.930,25.0
348,popB,58,62,41,50.0,1.930,25.0
349,popB,58,62,71,50.0,1.930,25.0
350,popB,57,63,88,50.0,1.943,25.0
351,popB,58,62,89,25.0,1.945,25.0
352,popB,59,61,11,25.0,2.005,25.0
353,popB,60,60,67,25.0,1.963,25.0
354,popB,59,61,77,50.0,1.965,25.0
355,popB,59,61,94,25.0,1.965,25.0
356,popB,58,62,46,50.0,2.014,25.0
357,popA,58,62,0,0,2.014,25.0
358,popB,58,62,41,50.0,2.014,25.0
359,popB,58,62,65,50.0,2.014,25.0
360,popA,58,62,0,0,2.014,25.0
361,popB,58,62,39,50.0,2.014,25.0
362,popB,57,63,1,50.0,2.014,25.0
363,popB,56,64,30,50.0,1.967,25.0
364,popB,56,64,22,25.0,1.967,25.0
365,popB,57,63,99,25.0,1.972,25.0
366,popB,56,64,55,50.0,2.132,25.0
367,popB,57,63,3,25.0,2.132,25.0
368,popB,57,63,66,50.0,2.132,25.0
369,popA,57,63,0,0,2.132,25.0
370,popB,56,64,2,50.0,2.132,25.0
371,popB,55,65,64,50.0,2.003,25.0
372,popB,55,65,110,50.0,2.003,25.0
373,popB,55,65,109,25.0,2.003,25.0
374,popB,55,65,115,50.0,2.003,25.0
375,popB,55,65,100,25.0,2.003,25.0
376,popB,55,65,34,50.0,2.003,25.0
377,popB,55,65,36,50.0,2.003,25.0
378,popB,56,64,57,25.0,2.014,25.0
379,popB,55,65,3,50.0,2.014,25.0
380,popB,56,64,59,25.0,1.958,25.0
381,popB,55,65,73,50.0,1.957,25.0
382,popB,55,65,118,50.0,1.957,25.0
383,popB,56,64,49,25.0,1.931,25.0
384,popB,55,65,67,50.0,1.936,25.0
385,popB,55,65,14,25.0,1.936,25.0
386,popB,55,65,97,50.0,1.936,25.0
387,popB,55,65,71,50.0,1.936,25.0
388,popB,56,64,69,25.0,1.924,25.0
389,popB,57,63,15,25.0,2.004,25.0
390,popB,57,63,46,50.0,2.004,25.0
391,popB,57,63,61,50.0,2.004,25.0
392,popA,57,63,0,0,2.004,25.0
393,popB,57,63,118,50.0,2.004,25.0
394,popB,56,64,82,50.0,1.946,25.0
395,popB,55,65,8,50.0,1.929,25.0
396,popB,55,65,53,50.0,1.929,25.0
397,popB,55,65,86,50.0,1.929,25.0
398,popB,55,65,15,25.0,1.929,25.0
399,popB,55,65,75,50.0,1.929,25.0
400,popB,56,64,6,25.0,1.929,25.0
401,popB,55,65,92,50.0,1.915,25.0
402,popB,54,66,99,50.0,1.906,25.0
403,popB,55,65,35,25.0,2.046,25.0
404,popB,54,66,25,50.0,1.977,25.0
405,popB,53,67,18,50.0,2.006,25.0
406,popB,53,67,37,50.0,2.006,25.0
407,popB,54,66,9,25.0,1.999,25.0
408,popB,54,66,14,25.0,1.999,25.0
409,popB,54,66,28,25.0,1.999,25.0
410,popB,54,66,108,50.0,1.999,25.0
411,popB,53,67,31,50.0,1.954,25.0
412,popB,53,67,102,25.0,1.954,25.0
413,popB,53,67,30,50.0,1.954,25.0
414,popB,52,68,57,50.0,1.948,25.0
415,popB,52,68,18,50.0,1.948,25.0
416,popB,52,68,75,50.0,1.948,25.0
417,popB,52,68,5,50.0,1.948,25.0
418,popB,53,67,108,25.0,1.956,25.0
419,popB,52,68,69,50.0,2.007,25.0
420,popB,51,69,0,50.0,2.007,25.0
421,popB,51,69,93,50.0,2.007,25.0
422,popB,51,69,80,25.0,2.007,25.0
423,popB,51,69,31,50.0,2.007,25.0
424,popB,50,70,32,50.0,1.870,25.0
425,popB,50,70,82,50.0,1.870,25.0
426,popB,50,70,57,50.0,1.870,25.0
427,popB,50,70,91,50.0,1.870,25.0
428,popB,50,70,108,25.0,1.870,25.0
429,popB,50,70,109,25.0,1.870,25.0
430,popB,50,70,36,50.0,1.870,25.0
431,popB,51,69,88,25.0,1.969,25.0
432,popB,51,69,111,50.0,1.969,25.0
433,popA,51,69,0,0,1.969,25.0
434,popB,51,69,16,50.0,1.969,25.0
435,popB,51,69,12,50.0,1.969,25.0
436,popB,50,70,49,50.0,1.984,25.0
437,popB,51,69,75,25.0,2.023,25.0
438,popB,50,70,96,50.0,2.019,25.0
439,popB,50,70,65,50.0,2.019,25.0
440,popB,50,70,5,50.0,2.019,25.0
441,popB,49,71,20,50.0,1.870,25.0
442,popB,49,71,18,50.0,1.870,25.0
443,popB,50,70,57,25.0,2.011,25.0
444,popB,51,69,20,25.0,1.909,25.0
445,popB,51,69,94,25.0,1.909,25.0
446,popB,52,68,92,25.0,1.909,25.0
447,popB,52,68,54,25.0,1.909,25.0
448,popB,51,69,15,50.0,2.015,25.0
449,popB,51,69,98,50.0,2.015,25.0
450,popA,51,69,0,0,2.015,25.0
451,popB,50,70,40,50.0,2.029,25.0
452,popB,50,70,80,25.0,2.029,25.0
453,popB,49,71,6,50.0,2.029,25.0
454,popB,50,70,83,25.0,1.886,25.0
455,popB,50,70,46,50.0,1.886,25.0
456,popB,50,70,27,25.0,1.886,25.0
457,popB,51,69,118,25.0,1.882,25.0
458,popB,51,69,51,50.0,1.882,25.0
459,popB,51,69,17,50.0,1.882,25.0
460,popB,51,69,106,25.0,1.882,25.0
461,popB,52,68,12,25.0,2.003,25.0
462,popB,52,68,64,50.0,2.003,25.0
463,popB,52,68,2,50.0,2.003,25.0
464,popB,52,68,87,25.0,2.003,25.0
465,popB,51,69,88,50.0,1.785,25.0
466,popB,52,68,29,25.0,1.783,25.0
467,popB,53,67,18,25.0,1.918,25.0
468,popB,53,67,71,50.0,1.918,25.0
469,popB,52,68,44,50.0,2.089,25.0
470,popB,52,68,52,50.0,2.089,25.0
471,popB,51,69,58,50.0,2.075,25.0
472,popB,52,68,50,25.0,1.941,25.0
473,popB,52,68,119,50.0,1.941,25.0
474,popB,52,68,2,50.0,1.941,25.0
475,popB,51,69,116,50.0,1.924,25.0
476,popB,52,68,91,25.0,1.882,25.0
477,popB,51,69,83,50.0,1.917,25.0
478,popB,51,69,15,50.0,1.917,25.0
479,popB,51,69,23,50.0,1.917,25.0
480,popB,52,68,0,25.0,1.917,25.0
481,popB,52,68,117,25.0,1.917,25.0
482,popB,51,69,9,50.0,1.908,25.0
483,popA,51,69,0,0,1.908,25.0
484,popB,50,70,12,50.0,1.919,25.0
485,popB,50,70,75,25.0,1.919,25.0
486,popB,49,71,90,50.0,1.813,25.0
487,popB,49,71,25,50.0,1.813,25.0
488,popB,48,72,56,50.0,1.928,25.0
489,popB,48,72,52,50.0,1.928,25.0
490,popB,49,71,53,25.0,1.936,25.0
491,popB,49,71,86,50.0,1.936,25.0
492,popA,49,71,0,0,1.936,25.0
493,popB,49,71,68,25.0,1.936,25.0
494,popB,49,71,34,50.0,1.936,25.0
495,popB,49,71,83,50.0,1.936,25.0
496,popB,49,71,27,25.0,1.936,25.0
497,popB,49,71,74,50.0,1.936,25.0
498,popB,49,71,57,25.0,1.936,25.0
499,popB,49,71,94,25.0,1.936,25.0
500,popA,49,71,0,0,1.936,25.0
501,popB,50,70,69,25.0,1.818,25.0
502,popB,51,69,81,25.0,1.812,25.0
503,popB,52,68,101,25.0,1.946,25.0
504,popB,53,67,115,25.0,2.003,25.0
505,popB,53,67,96,50.0,2.003,25.0
506,popB,53,67,75,25.0,2.003,25.0
507,popB,53,67,80,25.0,2.003,25.0
508,popB,52,68,108,50.0,2.059,25.0
509,popB,51,69,89,50.0,1.820,25.0
510,popB,51,69,40,50.0,1.820,25.0
511,popB,50,70,22,50.0,2.096,25.0
512,popA,50,70,0,0,2.096,25.0
513,popB,51,69,43,25.0,1.906,25.0
514,popB,52,68,41,25.0,1.996,25.0
515,popB,52,68,17,50.0,1.996,25.0
516,popB,52,68,69,25.0,1.996,25.0
517,popB,52,68,112,25.0,1.996,25.0
518,popB,51,69,118,50.0,1.995,25.0
519,popB,51,69,11,25.0,1.995,25.0
520,popB,52,68,76,25.0,1.933,25.0
521,popB,51,69,53,50.0,2.036,25.0
522,popB,51,69,96,50.0,2.036,25.0
523,popB,50,70,28,50.0,1.976,25.0
524,popB,49,71,87,50.0,1.929,25.0
525,popB,49,71,66,50.0,1.929,25.0
526,popB,48,72,29,50.0,1.973,25.0
527,popB,48,72,67,50.0,1.973,25.0
528,popB,49,71,28,25.0,1.962,25.0
529,popB,50,70,31,25.0,1.951,25.0
530,popB,49,71,60,50.0,2.065,25.0
531,popB,49,71,14,25.0,2.065,25.0
532,popB,49,71,4,25.0,2.065,25.0
533,popB,50,70,23,25.0,2.034,25.0
534,popB,50,70,93,50.0,2.034,25.0
535,popB,51,69,46,25.0,2.146,25.0
536,popB,51,69,59,25.0,2.146,25.0
537,popB,51,69,88,50.0,2.146,25.0
538,popB,51,69,94,25.0,2.146,25.0
539,popB,51,69,29,50.0,2.146,25.0
540,popB,51,69,73,50.0,2.146,25.0
541,popB,50,70,114,50.0,2.006,25.0
542,popB,50,70,43,25.0,2.006,25.0
543,popB,50,70,105,25.0,2.006,25.0
544,popB,51,69,56,25.0,2.050,25.0
545,popB,51,69,83,50.0,2.050,25.0
546,popB,50,70,41,50.0,2.054,25.0
547,popB,49,71,92,50.0,2.054,25.0
548,popB,48,72,81,50.0,2.018,25.0
549,popB,48,72,1,50.0,2.018,25.0
550,popB,48,72,56,25.0,2.018,25.0
551,popB,48,72,91,25.0,2.018,25.0
552,popB,48,72,49,50.0,2.018,25.0
553,popB,49,71,60,25.0,2.011,25.0
554,popB,49,71,20,25.0,2.011,25.0
555,popB,49,71,38,25.0,2.011,25.0
556,popB,48,72,85,50.0,1.854,25.0
557,popB,48,72,15,50.0,1.854,25.0
558,popB,48,72,106,25.0,1.854,25.0
559,popB,48,72,50,25.0,1.854,25.0
560,popB,49,71,92,25.0,1.962,25.0
561,popB,50,70,67,25.0,2.017,25.0
562,popB,50,70,43,25.0,2.017,25.0
563,popB,50,70,50,25.0,2.017,25.0
564,popB,50,70,7,25.0,2.017,25.0
565,popB,50,70,68,25.0,2.017,25.0
566,popB,50,70,12,50.0,2.017,25.0
567,popB,49,71,75,50.0,2.100,25.0
568,popB,49,71,50,25.0,2.100,25.0
569,popB,49,71,42,25.0,2.100,25.0
570,popB,49,71,32,50.0,2.100,25.0
571,popB,49,71,94,25.0,2.100,25.0
572,popB,49,71,43,25.0,2.100,25.0
573,popB,49,71,13,50.0,2.100,25.0
574,popB,48,72,106,50.0,2.113,25.0
575,popB,48,72,49,50.0,2.113,25.0
576,popB,48,72,55,50.0,2.113,25.0
577,popB,49,71,44,25.0,2.079,25.0
578,popB,50,70,77,25.0,2.065,25.0
579,popB,50,70,69,25.0,2.065,25.0
580,popA,50,70,0,0,2.065,25.0
581,popB,50,70,85,50.0,2.065,25.0
582,popB,51,69,73,25.0,1.966,25.0
583,popB,52,68,5,25.0,1.966,25.0
584,popB,53,67,82,25.0,1.951,25.0
585,popB,53,67,86,50.0,1.951,25.0
586,popB,54,66,52,25.0,2.000,25.0
587,popB,54,66,54,25.0,2.000,25.0
588,popB,53,67,68,50.0,2.046,25.0
589,popB,53,67,84,50.0,2.046,25.0
590,popB,54,66,81,25.0,2.167,25.0
591,popB,53,67,103,50.0,2.167,25.0
592,popB,53,67,9,50.0,2.167,25.0
593,popB,53,67,30,50.0,2.167,25.0
594,popB,54,66,119,25.0,2.204,25.0
595,popB,54,66,76,25.0,2.204,25.0
596,popB,55,65,96,25.0,2.197,25.0
597,popB,55,65,18,25.0,2.197,25.0
598,popB,55,65,60,25.0,2.197,25.0
599,popA,55,65,0,0,2.197,25.0
600,popA,55,65,0,0,2.197,25.0
601,popB,56,64,114,25.0,2.194,25.0
602,popB,55,65,114,50.0,2.197,25.0
603,popA,55,65,0,0,2.197,25.0
604,popB,55,65,5,25.0,2.197,25.0
605,popB,54,66,76,50.0,2.138,25.0
606,popB,54,66,51,50.0,2.138,25.0
607,popB,54,66,116,50.0,2.138,25.0
608,popB,54,66,38,25.0,2.138,25.0
609,popB,54,66,36,50.0,2.138,25.0
